"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSGALG00000033535",152.173868709521,1.14704807057117,0.363508671941774,3.1554902512887,0.00160228620805393,0.0239762084748937
"ENSGALG00000033664",9.81125869134991,1.69786741985235,0.447886049438082,3.79084685040425,0.000150134511622408,0.00455354206935061
"ENSGALG00000034150",3.69671255589289,2.82394406777616,0.606086276540156,4.65931036072396,3.17270535375959e-06,0.000264506726142991
"ENSGALG00000034741",264.436347916792,-1.02883903756432,0.318337693756487,-3.2319108221954,0.00122965424841015,0.0198593455783487
"ENSGALG00000035803",30.8929201215799,-4.45368647212435,0.954205453095515,-4.66742928126878,3.04991673249206e-06,0.000256799954132814
"ENSGALG00000035842",669.589057900656,2.04584804875752,0.377604136596081,5.41797043644661,6.02793802197953e-08,1.34232661952607e-05
"ENSGALG00000037064",9.7811037019084,2.64623956795173,0.508064154133579,5.208475241605,1.90398750582294e-07,3.46484780091907e-05
"ENSGALG00000038328",8.61630039452813,1.04224311085775,0.347700403631566,2.99753207063327,0.00272175219769074,0.0340559943972922
"ENSGALG00000038396",629.938497059878,1.38046386001497,0.324122188451653,4.25908471928289,2.05265668094181e-05,0.0010855988021331
"ENSGALG00000039403",12.4846138022843,-1.55198692556043,0.451359097166213,-3.43847489793456,0.000585000772123044,0.0118711667474945
"ENSGALG00000040434",75.3961389815374,-1.79603457961458,0.517146626390593,-3.47296973036436,0.000514733404840631,0.0108891851794035
"ENSGALG00000041042",12.0989414547872,-1.2271777760285,0.334327510418395,-3.67058569153565,0.00024199532177306,0.00642940161018408
"ENSGALG00000041491",81.0223194499125,-1.02406023371973,0.286784063827715,-3.57084079237726,0.000355837145494622,0.0084819547188042
"ENSGALG00000041502",14794.4402765651,1.16318132339659,0.294965065476137,3.94345452916251,8.03162253909632e-05,0.00290442691990739
"ENSGALG00000041822",9.92506799586507,1.18244570223044,0.414697544429868,2.85134483700906,0.00435347279364802,0.0465341658435251
"ENSGALG00000041833",57.9285254248755,1.59826279709049,0.502577011753012,3.18013510310722,0.00147206403605789,0.0226689824806585
"ENSGALG00000041978",72.1198746013924,1.60228029477085,0.274819598845389,5.83029849946139,5.53283132384388e-09,1.70250249681334e-06
"ENSGALG00000042293",40.9001339790943,-1.00959104205113,0.265546779425179,-3.80193291832258,0.000143571604199688,0.00442223862715668
"ENSGALG00000043392",3.57937190666213,2.42378677605025,0.711766362493847,3.40531233810758,0.000660884186662759,0.0128988607427822
"ENSGALG00000043909",549.980096442569,1.20163954634775,0.411430085503656,2.9206409270648,0.00349312171824925,0.0404361094115255
"ENSGALG00000044449",61.6748918512184,1.07685612026014,0.255194300292287,4.21974988871918,2.44573498484777e-05,0.00121720562184719
"ENSGALG00000044662",4.80291386155034,4.06784598666044,0.843093509390249,4.82490487870371,1.40070101000634e-06,0.000139443905254984
"ENSGALG00000045085",923.59444626253,-1.30604156299788,0.382530507071361,-3.4142154386506,0.00063965973862286,0.012619465810385
"ENSGALG00000045596",23.5192245611157,1.36184049378511,0.326038494901077,4.17693160495757,2.9546782033736e-05,0.00138584577548873
"ENSGALG00000045607",31.848537422736,1.79049920652741,0.522166692933051,3.42898011451102,0.000605853915512529,0.0121443483799764
"ENSGALG00000046160",4.3384944146334,3.11160559681429,0.999483790370469,3.11321266717187,0.00185062612469421,0.0262972263092568
"ENSGALG00000046316",14.344685334344,-1.16608556500768,0.392804888712337,-2.96861265864141,0.00299147421028706,0.0363532436814914
"ENSGALG00000046338",25.253809053672,-1.13810273150216,0.326537758754079,-3.48536333392085,0.000491469206825782,0.0105286390586323
"ENSGALG00000046749",12.9998606468887,1.31080292316477,0.262205697953098,4.99913973417632,5.7586660060187e-07,7.85965028111778e-05
"ENSGALG00000046810",20.040407041274,1.34108486871888,0.336848845569657,3.98126603774141,6.85491732837123e-05,0.00258956743003024
"ENSGALG00000046976",14.1794320252556,-1.19315270859986,0.308337743951928,-3.86962910640573,0.000109001047958041,0.00362423130774437
"ENSGALG00000047026",19.9750714663267,-2.07900884704656,0.468071374471096,-4.44164920231614,8.9272013588262e-06,0.000578865731022125
"ENSGALG00000047038",15.3762414050745,-1.31231985023455,0.302333954135932,-4.34063006249215,1.42074743012867e-05,0.00084367471956132
"ENSGALG00000047199",472.678413906513,-2.65315524902212,0.4611567784561,-5.75326087129107,8.75382419182029e-09,2.51101221393842e-06
"ENSGALG00000047285",7.80000101408608,1.78302141644745,0.490614862756759,3.63425886942902,0.00027878084671783,0.00721420038203754
"ENSGALG00000047357",10.0798978189361,1.33514770930441,0.382385648136946,3.49162610001055,0.000480089787062507,0.0103503688614597
"ENSGALG00000047422",43.3463610810285,1.16095830660136,0.304270205385371,3.81555040898913,0.000135879712131747,0.00423504281421306
"ENSGALG00000047537",6.63639051271277,6.25635772335075,1.67397757360795,3.73742027491224,0.000185918013759968,0.00527047984065946
"ENSGALG00000047658",22.0723101380739,1.54587338083294,0.3915982514193,3.94760031545114,7.8938445395668e-05,0.00287369633466878
"ENSGALG00000047863",7.62733500558949,-1.31105651744932,0.375867650269689,-3.48808022320789,0.000486502085020706,0.0104486818361554
"ENSGALG00000048053",65.0183397216599,3.60656527990744,0.804830320545105,4.48114986207868,7.42419549637048e-06,0.000512845243186016
"ENSGALG00000048054",12.668992204785,1.58993918901529,0.348284053794158,4.56506455490774,4.99340657569043e-06,0.000367427882117325
"ENSGALG00000048081",14.1491556006874,1.15317816830214,0.300903857682742,3.8323808048948,0.000126909092496249,0.00405135456845095
"ENSGALG00000048114",7.56888251532447,-1.46477363545283,0.453108009711143,-3.23272509878301,0.00122615492616316,0.0198593455783487
"ENSGALG00000048129",4.41486989368395,1.43896336454355,0.506345981050964,2.84185797536471,0.00448514672331561,0.0475647846065897
"ENSGALG00000048184",11.9253895877127,-4.18772675123684,1.13030963633848,-3.7049376707099,0.000211442719937031,0.00584715129446783
"ENSGALG00000048204",11.7972672591282,-1.00075110509207,0.331178007388111,-3.02179215638339,0.00251283020540887,0.0325628931059263
"ENSGALG00000048259",32.7321405653638,1.22922456456967,0.385293797496353,3.19035648265608,0.00142097397801041,0.0220077472321446
"ENSGALG00000048323",7.45583259742611,-1.23970044037078,0.397171254292207,-3.1213246854434,0.00180039411197033,0.0258000592303014
"ENSGALG00000048325",144.954173681833,1.23015628436169,0.326288411774615,3.7701500879885,0.000163149401742379,0.00482716866274129
"ENSGALG00000048486",23.49469511361,-1.70317963747722,0.526250867952151,-3.23644052902936,0.00121030442904489,0.0197143331637688
"ENSGALG00000048528",13.8805000511494,1.02077150186325,0.339383423066568,3.00772351413,0.00263212486896383,0.0334116832644167
"ENSGALG00000048625",26.8160865320918,1.61716313465357,0.256118780549715,6.31411383102248,2.71713894044248e-10,1.64231640814459e-07
"ENSGALG00000048687",2109.8235955378,-1.16611573130306,0.142832680074193,-8.1642081538856,3.23550564106997e-16,1.09515394938936e-12
"ENSGALG00000048869",1886.25311398316,1.38076330004159,0.195219378061326,7.07288033469625,1.51750344160741e-12,1.83444487469741e-09
"ENSGALG00000048881",11.7335507291506,-1.15406638467772,0.40144661860924,-2.87476922504873,0.00404322901153073,0.044404535458692
"ENSGALG00000049080",8.32424284088288,-1.00258010979543,0.345298699024929,-2.90351545669464,0.00368998755886572,0.0417172476358215
"ENSGALG00000049186",70.7368452571403,1.19108932851592,0.287727690979877,4.13964093778941,3.47849842560033e-05,0.0015346200172783
"ENSGALG00000049267",44.764647396271,1.53232649621153,0.455130809806945,3.36678261105089,0.000760506130277828,0.0141674355874617
"ENSGALG00000049296",8.94660117372334,-1.15435228042084,0.33865491926235,-3.40863874924723,0.000652878744136154,0.0127885646594448
"ENSGALG00000049308",4.99452901160523,2.24244990357649,0.577475291725202,3.88319627819433,0.000103092282879305,0.00348946759089871
"ENSGALG00000049534",6.88447333672654,4.6952219082953,1.35190091252038,3.4730518078739,0.00051457601495618,0.0108891851794035
"ENSGALG00000049589",56.7759630038192,1.8006035204683,0.527304460171489,3.41473220211852,0.000638447488435125,0.012619465810385
"ENSGALG00000049600",6.05996953982129,-1.33619325290167,0.445670159702217,-2.9981662981306,0.0027160942194125,0.0340245585265264
"ENSGALG00000049686",3.99497980923961,-4.17195588144301,1.14070762475115,-3.65734022541767,0.000254846015323081,0.00670764224467779
"ENSGALG00000049716",859.905885938183,2.34100937907528,0.623937503853099,3.75199337212217,0.000175434103392093,0.00510145492406835
"ENSGALG00000049755",103.719092488563,2.51770816218406,0.504120198994847,4.99426162094687,5.9061290717615e-07,7.87049830003871e-05
"ENSGALG00000049871",2.74612468874033,4.33176472066072,1.25247673737014,3.45855902262603,0.000543073267018599,0.0113189309987965
"ENSGALG00000049923",158.769616732924,2.1979856516812,0.345776286081293,6.35666973172489,2.06174610158515e-10,1.34203811627796e-07
"ENSGALG00000049947",7.10484845255751,2.3091352740512,0.549376938230585,4.20318931021821,2.63180301152997e-05,0.00127258954763238
"ENSGALG00000049990",6.31468316215492,1.28090954726795,0.441339304647641,2.90232375358141,0.00370405519318396,0.0418194997261143
"ENSGALG00000050014",2.12606618373566,1.9903714238532,0.691532458228059,2.87820390810462,0.00399946531311466,0.0440097210397611
"ENSGALG00000050294",81.7353434024035,-1.05878196945294,0.169676319308162,-6.24001023696182,4.37542258099604e-10,2.46832172535923e-07
"ENSGALG00000050467",13.8077915424799,1.93649544302519,0.432337424222089,4.47912980586761,7.49479487338543e-06,0.000513529993672773
"ENSGALG00000050515",1116.38991721767,2.56362505533374,0.501764867134803,5.10921593608707,3.23498462148815e-07,5.21417902229195e-05
"ENSGALG00000050718",11.6861072738571,-1.60537607150755,0.334454819106588,-4.79997889041009,1.5868235552231e-06,0.000154341389934458
"ENSGALG00000050749",152.38849080015,1.40383647493153,0.327126397944325,4.29141910818967,1.77534876355069e-05,0.000975519560854933
"ENSGALG00000050913",10.2987118459046,1.3492124588147,0.422165908535227,3.19592944749143,0.00139381189407356,0.0217008946598904
"ENSGALG00000050921",23.5824444813112,6.36221971318159,0.88536004686556,7.18602531897137,6.67046796713562e-13,1.02628181705276e-09
"ENSGALG00000051077",9.95399506940791,-1.27269637815618,0.362380922751296,-3.51204022687926,0.000444680685795659,0.00981196339818218
"ENSGALG00000051152",6.19860039734947,-1.22855589175549,0.399643766151194,-3.07412750006639,0.00211119184529098,0.0287259356380477
"ENSGALG00000051394",24.5513961448587,1.72887366778049,0.360475520253575,4.7960917472685,1.61791199646361e-06,0.000156465957875144
"ENSGALG00000051617",49.3742178710317,1.87260026905646,0.450470270060609,4.15698969169377,3.22468534924438e-05,0.00147699182707845
"ENSGALG00000051748",88.1227591930662,-1.54500813951219,0.489782507826427,-3.15447798731866,0.00160785507319836,0.0240382855643189
"ENSGALG00000051868",5.90038135700268,-1.16069035414219,0.411796867209221,-2.8185992817485,0.00482336919009257,0.0495632666503501
"ENSGALG00000051987",7.61950835614282,-1.74962707393982,0.512122293927185,-3.41642434763557,0.000634492906131346,0.012588696299375
"ENSGALG00000052021",9.43102491436106,1.16637852486259,0.357547965735296,3.26215958875319,0.00110566878733094,0.0185031097397764
"ENSGALG00000052243",102.078085276329,-2.57131172892093,0.472038514547972,-5.44724985287109,5.11545826228523e-08,1.1543202084122e-05
"ENSGALG00000052269",3.33439471257343,2.30935071589943,0.676465145626353,3.41385026387598,0.000640517674965773,0.012619465810385
"ENSGALG00000052285",7.95419050880357,1.44314015698205,0.374889001505291,3.84951319240472,0.000118352809466319,0.00385935057304043
